company,location,industry,total_laid_off,percentage_laid_off,date,country
Immutable,Sydney,Crypto,20.0,0.06,2022-07-26,Australia
Pear Therapeutics ,Boston,Healthcare,25.0,0.09,2022-07-25,United States
Soluto,Tel Aviv,Support,120.0,1.0,2022-07-24,Israel
Eucalyptus,Sydney,Healthcare,50.0,0.2,2022-07-22,United States
Quanto,Sao Paulo,Finance,28.0,0.22,2022-07-22,Brazil
Clarify Health,SF Bay Area,Healthcare,15.0,0.05,2022-07-22,United States
Blockchain.com,London,Crypto,150.0,0.25,2022-07-21,United Kingdom
Callisto Media,SF Bay Area,Media,140.0,0.35,2022-07-21,United States
AppGate,Miami,Security,130.0,0.22,2022-07-21,United States
WHOOP,Boston,Fitness,95.0,0.15,2022-07-21,United States
Rad Power Bikes,Seattle,Transportation,63.0,0.1,2022-07-21,United States
Lunchbox,New York City,Food,60.0,0.33,2022-07-21,United States
RealSelf,Seattle,Healthcare,11.0,0.05,2022-07-21,United States
Flyhomes,Seattle,Real Estate,200.0,0.2,2022-07-20,United States
Lyft,SF Bay Area,Transportation,60.0,0.02,2022-07-20,United States
Introhive,Ferdericton,Sales,57.0,0.16,2022-07-20,Canada
Zencity,Tel Aviv,Other,30.0,0.2,2022-07-20,Israel
Forma.ai,Toronto,Sales,15.0,0.09,2022-07-20,Canada
Olive,Columbus,Healthcare,450.0,0.31,2022-07-19,United States
Stint,London,HR,28.0,0.2,2022-07-19,United Kingdom
Gemini,New York City,Crypto,68.0,0.07,2022-07-18,United States
Lusha,New York City,Marketing,30.0,0.1,2022-07-18,United States
Bright Money,Bengaluru,Finance,100.0,0.5,2022-07-15,India
Project44,Chicago,Logistics,63.0,0.05,2022-07-15,United States
Heroes,London,Retail,24.0,0.2,2022-07-15,United States
Zego,London,Finance,85.0,0.17,2022-07-14,United Kingdom
The Mom Project,Chicago,HR,54.0,0.15,2022-07-14,United States
Unstoppable Domains,SF Bay Area,Crypto,42.0,0.25,2022-07-14,United States
Kiavi,SF Bay Area,Real Estate,39.0,0.07,2022-07-14,United States
Wave,Dakar,Finance,300.0,0.15,2022-07-13,Senegal
Tonal,SF Bay Area,Fitness,262.0,0.35,2022-07-13,United States
Fabric,New York City,Logistics,120.0,0.4,2022-07-13,United States
Bryter,Berlin,Product,100.0,0.3,2022-07-13,Germany
ChowNow,Los Angeles,Food,100.0,0.2,2022-07-13,United States
Involves,Florianópolis,Retail,70.0,0.18,2022-07-13,Brazil
Gopuff,Philadelphia,Food,1500.0,0.1,2022-07-12,United States
Hubilo,SF Bay Area,Marketing,45.0,0.12,2022-07-12,United States
Hopin,London,Other,242.0,0.29,2022-07-11,United Kingdom
SundaySky,New York City,Marketing,24.0,0.13,2022-07-11,United States
Butler Hospitality,New York City,Food,1000.0,1.0,2022-07-08,United States
Calibrate,New York City,Healthcare,156.0,0.24,2022-07-08,United States
Argo AI,Pittsburgh,Transportation,150.0,0.05,2022-07-07,United States
Next Insurance,SF Bay Area,Finance,150.0,0.17,2022-07-07,United States
Emotive,Los Angeles,Marketing,30.0,0.18,2022-07-07,United States
Remote,SF Bay Area,HR,100.0,0.09,2022-07-06,United States
Anodot,Tel Aviv,Data,35.0,0.27,2022-07-06,United States
SQream,New York City,Data,30.0,0.18,2022-07-06,United States
Loft,Sao Paulo,Real Estate,384.0,0.12,2022-07-05,Brazil
Bizzabo,New York City,Marketing,120.0,0.3,2022-07-05,United States
eToro,Tel Aviv,Finance,100.0,0.06,2022-07-05,Israel
Verbit,New York City,Data,80.0,0.1,2022-07-05,United States
Outschool,SF Bay Area,Education,31.0,0.18,2022-07-05,United States
Bullish,Hong Kong,Crypto,30.0,0.08,2022-07-05,Hong Kong
Transmit Security,Boston,Security,27.0,0.07,2022-07-05,United States
Thimble,New York City,Finance,20.0,0.33,2022-07-05,United States
Syte,Tel Aviv,Retail,13.0,0.08,2022-07-05,Israel
Lightricks,Jerusalem,Consumer,80.0,0.12,2022-07-04,Israel
Sendle,Sydney,Logistics,27.0,0.12,2022-07-04,Australia
Lendis,Berlin,Other,18.0,0.15,2022-07-04,Germany
Celsius,New York City,Crypto,150.0,0.25,2022-07-03,United States
WanderJaunt,SF Bay Area,Travel,85.0,1.0,2022-07-01,United States
Canoo,Los Angeles,Transportation,58.0,0.06,2022-07-01,United States
Teleport,SF Bay Area,Infrastructure,15.0,0.06,2022-07-01,United States
