company,location,industry,total_laid_off,percentage_laid_off,date,country,mass_layoff
BookClub,Salt Lake City,Education,12.0,0.25,2022-05-31,United States,0
SWVL,Dubai,Transportation,400.0,0.32,2022-05-30,United Arab Emirates,1
Mobile Premier League,Bengaluru,Consumer,100.0,0.1,2022-05-30,India,1
SumUp,Sao Paulo,Finance,100.0,0.03,2022-05-30,Brazil,1
FrontRow,Bengaluru,Education,145.0,0.3,2022-05-27,India,1
Uncapped,London,Finance,29.0,0.26,2022-05-27,United Kingdom,0
VTEX,Sao Paulo,Retail,200.0,0.13,2022-05-26,Brazil,1
Bitso,Mexico City,Crypto,80.0,0.11,2022-05-26,Mexico,1
Dazn,London,Consumer,50.0,0.02,2022-05-26,United Kingdom,1
Lacework,SF Bay Area,Security,300.0,0.2,2022-05-25,United States,1
Bolt,SF Bay Area,Finance,240.0,0.27,2022-05-25,United States,1
Kontist,Berlin,Finance,50.0,0.25,2022-05-25,Germany,1
Nuri,Berlin,Finance,45.0,0.2,2022-05-25,Germany,0
Coterie Insurance,Cincinnati,Finance,30.0,0.2,2022-05-25,United States,0
Gorillas,Berlin,Food,300.0,0.5,2022-05-24,Germany,1
Klarna,Stockholm,Finance,700.0,0.1,2022-05-23,Sweden,1
Buenbit,Buenos Aires,Crypto,80.0,0.45,2022-05-23,Argentina,1
BeyondMinds,Tel Aviv,Data,65.0,1.0,2022-05-23,Israel,1
ClickUp,San Diego,Other,60.0,0.07,2022-05-23,United States,1
Airtime,New York City,Consumer,30.0,0.2,2022-05-23,United States,0
MFine,Bengaluru,Healthcare,600.0,0.75,2022-05-21,India,1
Latch,New York City,Security,130.0,0.28,2022-05-20,United States,1
Outside,Boulder,Media,87.0,0.15,2022-05-20,United States,1
Skillz,SF Bay Area,Consumer,70.0,0.1,2022-05-20,United States,1
Cars24,Gurugram,Transportation,600.0,0.06,2022-05-19,India,1
Vedantu,Bengaluru,Education,424.0,0.07,2022-05-18,India,1
Netflix,SF Bay Area,Media,150.0,0.01,2022-05-17,United States,1
Kry,Stockholm,Healthcare,100.0,0.1,2022-05-17,Sweden,1
Picsart,Miami,Consumer,90.0,0.08,2022-05-17,United States,1
Zak,Sao Paulo,Food,100.0,0.4,2022-05-16,United States,1
AliExpress Russia,Moscow,Retail,400.0,0.4,2022-05-14,Russia,1
DataRobot,Boston,Data,70.0,0.07,2022-05-11,United States,1
Carvana,Phoenix,Transportation,2500.0,0.12,2022-05-10,United States,1
Doma,SF Bay Area,Finance,310.0,0.15,2022-05-10,United States,1
Pollen,London,Travel,200.0,0.33,2022-05-10,United Kingdom,1
Latch,New York City,Security,30.0,0.06,2022-05-10,United States,0
Meero,Paris,Other,350.0,0.5,2022-05-09,France,1
Vroom,New York City,Transportation,270.0,0.14,2022-05-09,United States,1
Reef,Miami,Transportation,750.0,0.05,2022-05-06,United States,1
Vedantu,Bengaluru,Education,200.0,0.03,2022-05-05,India,1
Mural,SF Bay Area,Product,90.0,0.1,2022-05-05,United States,1
On Deck,SF Bay Area,Education,72.0,0.25,2022-05-05,United States,1
SEND,Sydney,Food,300.0,1.0,2022-05-04,Australia,1
Cameo,Chicago,Consumer,87.0,0.25,2022-05-04,United States,1
Mainstreet,SF Bay Area,Finance,45.0,0.3,2022-05-04,United States,0
