company,location,industry,total_laid_off,percentage_laid_off,date,country
Khoros,Austin,Sales,120.0,0.1,2022-10-21,United States
F5,Seattle,Security,100.0,0.01,2022-10-21,United States
Elinvar,Berlin,Finance,43.0,0.33,2022-10-21,Germany
Synapsica,New Delhi,Healthcare,30.0,0.3,2022-10-21,India
Hotmart,Belo Horizonte,Marketing,227.0,0.12,2022-10-20,Brazil
Zeus Living,SF Bay Area,Real Estate,64.0,0.46,2022-10-20,United States
Loom,SF Bay Area,Product,23.0,0.11,2022-10-20,United States
AtoB,SF Bay Area,Finance,32.0,0.3,2022-10-19,United States
InfoSum,London,Security,20.0,0.12,2022-10-19,United Kingdom
Faire,SF Bay Area,Retail,84.0,0.07,2022-10-18,United States
Leafly,Seattle,Retail,56.0,0.21,2022-10-18,United States
Tiendanube,Buenos Aires,Marketing,50.0,0.05,2022-10-17,Argentina
Flipboard,SF Bay Area,Media,24.0,0.21,2022-10-16,United States
Clear Capital,Reno,Real Estate,378.0,0.27,2022-10-14,United States
Beyond Meat,Los Angeles,Food,200.0,0.19,2022-10-14,United States
Playdots,New York City,Consumer,65.0,1.0,2022-10-13,United States
Byju's,Bengaluru,Education,2500.0,0.05,2022-10-12,India
6sense,SF Bay Area,Sales,150.0,0.1,2022-10-12,United States
FrontRow,Bengaluru,Education,130.0,0.75,2022-10-12,India
Noom,New York City,Healthcare,500.0,0.1,2022-10-11,United States
Brex,SF Bay Area,Finance,136.0,0.11,2022-10-11,United States
Pacaso,SF Bay Area,Real Estate,100.0,0.3,2022-10-11,United States
Udacity,SF Bay Area,Education,55.0,0.13,2022-10-11,United States
Linkfire,Copenhagen,Marketing,35.0,0.35,2022-10-11,Denmark
Momentive,SF Bay Area,Marketing,180.0,0.11,2022-10-10,United States
Pavilion Data,SF Bay Area,Infrastructure,96.0,0.96,2022-10-10,United States
Redesign Health,New York City,Healthcare,67.0,0.2,2022-10-10,United States
BioMarin,SF Bay Area,Healthcare,120.0,0.04,2022-10-07,United States
Crypto.com,Singapore,Crypto,2000.0,0.3,2022-10-06,Singapore
Peloton,New York City,Fitness,500.0,0.12,2022-10-06,United States
Turnitin,SF Bay Area,Education,51.0,0.05,2022-10-06,United States
Impossible Foods,SF Bay Area,Food,50.0,0.06,2022-10-06,United States
Built In,Chicago,Recruiting,50.0,0.25,2022-10-05,United States
8x8,SF Bay Area,Support,200.0,0.09,2022-10-04,United States
Homie,Salt Lake City,Real Estate,40.0,0.13,2022-10-04,United States
WazirX,Mumbai,Crypto,60.0,0.4,2022-10-02,India
