company,location,industry,total_laid_off,percentage_laid_off,date,country
Foodpanda,Bucharest,Food,80.0,,2022-05-26,Romania
Dazn,London,Consumer,50.0,0.02,2022-05-26,United Kingdom
Lacework,SF Bay Area,Security,300.0,0.2,2022-05-25,United States
Bolt,SF Bay Area,Finance,240.0,0.27,2022-05-25,United States
PeerStreet,Los Angeles,Finance,75.0,,2022-05-25,United States
Kontist,Berlin,Finance,50.0,0.25,2022-05-25,Germany
Nuri,Berlin,Finance,45.0,0.2,2022-05-25,Germany
Coterie Insurance,Cincinnati,Finance,30.0,0.2,2022-05-25,United States
Airlift,Lahore,Logistics,,0.31,2022-05-25,Pakistan
Getir,Istanbul,Food,,0.14,2022-05-25,Turkey
Zapp,London,Food,,0.1,2022-05-25,United Kingdom
Gorillas,Berlin,Food,300.0,0.5,2022-05-24,Germany
Zenius,Jakarta,Education,200.0,,2022-05-24,Indonesia
The Zebra,Austin,Finance,40.0,,2022-05-24,United States
Klarna,Stockholm,Finance,700.0,0.1,2022-05-23,Sweden
PayPal,SF Bay Area,Finance,83.0,,2022-05-23,United States
Buenbit,Buenos Aires,Crypto,80.0,0.45,2022-05-23,Argentina
BeyondMinds,Tel Aviv,Data,65.0,1.0,2022-05-23,Israel
ClickUp,San Diego,Other,60.0,0.07,2022-05-23,United States
Airtime,New York City,Consumer,30.0,0.2,2022-05-23,United States
Olist,Curitiba,Retail,,,2022-05-23,Brazil
MFine,Bengaluru,Healthcare,600.0,0.75,2022-05-21,India
Latch,New York City,Security,130.0,0.28,2022-05-20,United States
Outside,Boulder,Media,87.0,0.15,2022-05-20,United States
Skillz,SF Bay Area,Consumer,70.0,0.1,2022-05-20,United States
Cars24,Gurugram,Transportation,600.0,0.06,2022-05-19,India
Vedantu,Bengaluru,Education,424.0,0.07,2022-05-18,India
Netflix,SF Bay Area,Media,150.0,0.01,2022-05-17,United States
Kry,Stockholm,Healthcare,100.0,0.1,2022-05-17,Sweden
Picsart,Miami,Consumer,90.0,0.08,2022-05-17,United States
Zak,Sao Paulo,Food,100.0,0.4,2022-05-16,United States
Zulily,Seattle,Retail,,,2022-05-16,United States
AliExpress Russia,Moscow,Retail,400.0,0.4,2022-05-14,Russia
Thirty Madison,New York City,Healthcare,24.0,,2022-05-14,United States
CommonBond,New York City,Finance,22.0,,2022-05-13,United States
Subspace,Los Angeles,Infrastructure,,1.0,2022-05-13,United States
Zwift,Los Angeles,Fitness,150.0,,2022-05-12,United States
Section4,New York City,Education,32.0,,2022-05-12,United States
Tripwire,Portland,Security,,,2022-05-12,United States
DataRobot,Boston,Data,70.0,0.07,2022-05-11,United States
Carvana,Phoenix,Transportation,2500.0,0.12,2022-05-10,United States
Doma,SF Bay Area,Finance,310.0,0.15,2022-05-10,United States
Pollen,London,Travel,200.0,0.33,2022-05-10,United Kingdom
Latch,New York City,Security,30.0,0.06,2022-05-10,United States
Meero,Paris,Other,350.0,0.5,2022-05-09,France
Vroom,New York City,Transportation,270.0,0.14,2022-05-09,United States
Reef,Miami,Transportation,750.0,0.05,2022-05-06,United States
divvyDOSE,Davenport,Healthcare,62.0,,2022-05-06,United States
Vedantu,Bengaluru,Education,200.0,0.03,2022-05-05,India
Mural,SF Bay Area,Product,90.0,0.1,2022-05-05,United States
On Deck,SF Bay Area,Education,72.0,0.25,2022-05-05,United States
SEND,Sydney,Food,300.0,1.0,2022-05-04,Australia
Colossus,Boston,Energy,97.0,,2022-05-04,United States
Cameo,Chicago,Consumer,87.0,0.25,2022-05-04,United States
Mainstreet,SF Bay Area,Finance,45.0,0.3,2022-05-04,United States
Ideoclick,Seattle,Retail,40.0,,2022-05-04,United States
Vise,New York City,Finance,25.0,,2022-05-04,United States
